id,post_date,post_messsage,engagements
44577,2021/06/01 10:30:00,viñuela y polemico episodio con camarografo fue una estupidez de mi parte ,43.0
44576,2021/06/01 10:40:00,aseguro que hubo amenazas y discursos ,46.0
27715,2021/06/01 10:40:00,"aseguro que hubo amenazas y discursos  
https   t co owytftkbyn",46.0
8854,2021/06/01 10:40:00,"aseguro que hubo amenazas y discursos  
https   t co owytftkbyn",46.0
8853,2021/06/01 11:00:00,conoce las ofertas imperdibles en este cyberday      https   t co fkjltibeh ,38.0
27714,2021/06/01 11:00:00,conoce las ofertas imperdibles en este cyberday      https   t co fkjltibeh ,38.0
44575,2021/06/01 11:00:00,conoce las ofertas imperdibles en este cyberday ,38.0
44574,2021/06/01 11:30:00,jose miguel viñuela se refirio a su lucha contra la ansiedad y las crisis de panico ,41.0
27713,2021/06/01 11:30:00,"jose miguel viñuela se refirio a su lucha contra la ansiedad y las crisis de panico
https   t co bjswgjhqfo",41.0
8852,2021/06/01 11:30:00,"jose miguel viñuela se refirio a su lucha contra la ansiedad y las crisis de panico
https   t co bjswgjhqfo",41.0
8835,2021/06/01 13:07:00,"martin carcamo tuvo una sincera conversacion con gonzalo robles y cristian garcia huidobro  quienes compartieron grandes momentos de su carrera   
https   t co mifrhyaadl",34.0
27696,2021/06/01 13:07:00,"martin carcamo tuvo una sincera conversacion con gonzalo robles y cristian garcia huidobro  quienes compartieron grandes momentos de su carrera   
https   t co mifrhyaadl",34.0
44557,2021/06/01 13:07:00,martin carcamo tuvo una sincera conversacion con gonzalo robles y cristian garcia huidobro quienes compartieron grandes momentos de su carrera ,34.0
44556,2021/06/01 14:00:00,hoy miercoles de junio rubionatural conversara detuatu con amparo noguera no te lo pierdas despues de tele ,111.0
27695,2021/06/01 14:00:00,hoy miercoles   de junio  rubionatural conversara  detuatu con amparo noguera     no te lo pierdas  despues de  tele     https   t co jm  ehm oa,111.0
8834,2021/06/01 14:00:00,hoy miercoles   de junio  rubionatural conversara  detuatu con amparo noguera     no te lo pierdas  despues de  tele     https   t co jm  ehm oa,111.0
8833,2021/06/01 15:00:00,"cristian garcia huidobro recordo cuando mostro mas de la cuenta en television
https   t co rpnxi eraf",76.0
27694,2021/06/01 15:00:00,"cristian garcia huidobro recordo cuando mostro mas de la cuenta en television
https   t co rpnxi eraf",76.0
44555,2021/06/01 15:00:00,cristian garcia huidobro recordo cuando mostro mas de la cuenta en television ,76.0
44554,2021/06/01 16:00:00,la actriz mostrara su lado mas personal hablando de las grandes perdidas en su vida y su vida en pareja con el actor marcelo alonso con quien no se ha separado nunca ,133.0
27693,2021/06/01 16:00:00,"la actriz mostrara su lado mas personal  hablando de las grandes perdidas en su vida y su vida en pareja con el actor  marcelo alonso  con quien no se ha separado nunca 
https   t co lrccklixzh",133.0
8832,2021/06/01 16:00:00,"la actriz mostrara su lado mas personal  hablando de las grandes perdidas en su vida y su vida en pareja con el actor  marcelo alonso  con quien no se ha separado nunca 
https   t co lrccklixzh",133.0
